experiment_id,variant_id,question,track,source,case,case_label,solver_status,termination_condition,case_outcome,best_incumbent,best_bound,gap,elapsed_seconds,lp_relaxation_objective,timeline_mode,reconf_hours,delay_windows,fixed_total_mwh,mobile_total_mwh,c_reconf_yuan_per_mwh,C_total,C_grid,C_unserved,C_reconf,C_storage,C_total_with_storage,total_unmet_load,total_grid_purchase,total_charging_energy,total_discharging_energy,total_reconfiguration_volume,average_active_mobile_capacity_utilisation,SC_1,HT,R_delay,V_reconf_norm,B_reuse,L_friction,V_mob_net,note,robustness_case
E9,holiday_stress,Do the shared-budget planning conclusions survive realistic perturbations?,real,holiday_stress,no_storage,Case 0: No Storage,ok,optimal,optimal,6377.903094966955,6377.903094966886,0.0,10.937999999965541,6377.903094966955,mixed_real,24,1,0.0,0.0,0.0,6377.903094966955,6377.903094966955,0.0,0.0,0.0,6377.903094966955,0.0,5279.286802236909,0.0,0.0,0.0,0.0,0.04347826088841809,0.0,0.0,0.0,,,,,holiday_stress
E9,holiday_stress,Do the shared-budget planning conclusions survive realistic perturbations?,real,holiday_stress,fixed_only,Case A: Fixed Only,ok,optimal,optimal,6147.809913742006,6147.809913742006,0.0,12.781000000075437,6147.809913742006,mixed_real,24,1,18.0,0.0,0.0,6147.809913742006,6129.809913742006,0.0,0.0,18.0,6147.809913742006,0.0,5295.40176833543,235.4355497284136,219.3205836298933,0.0,0.0,0.04361356826521287,0.125,0.0,0.0,,,,,holiday_stress
E9,holiday_stress,Do the shared-budget planning conclusions survive realistic perturbations?,real,holiday_stress,mobile_only,Case B: Mobile Only,ok,maxTimeLimit,feasible_with_gap,6209.685983667561,6201.925108215884,0.0012498015957794237,484.7030000000959,6209.685983667561,mixed_real,24,1,0.0,12.0,0.5,6209.685983667561,6191.68598366756,0.0,4.918683605431765e-13,18.0,6209.685983667561,0.0,5292.649933056891,183.82698276962066,170.4638519495952,4.672198713325827e-12,0.33018380906832334,0.04442501717561481,0.25,3.1407407402969545,4.866873659663706e-14,,,,Stopped before optimality proof; incumbent retained with gap=0.124980%.,holiday_stress
E9,holiday_stress,Do the shared-budget planning conclusions survive realistic perturbations?,real,holiday_stress,hybrid,Case C: Hybrid,ok,optimal,optimal,6172.989361715634,6172.375686603491,0.0,256.14099999994505,6172.989361715634,mixed_real,24,1,9.0,6.0,0.5,6172.989361715634,6154.935457915074,0.0,0.053903800560367664,18.0,6172.989361715634,0.0,5294.578263182403,215.29703533870656,200.00557439316108,0.10780760128527105,0.37184910857779974,0.044384959859458235,0.25,3.1957671953321154,0.0022459916933963557,,,,,holiday_stress
E9,holiday_stagger,Do the shared-budget planning conclusions survive realistic perturbations?,real,holiday_stagger,no_storage,Case 0: No Storage,ok,optimal,optimal,61168.22891482802,61168.228914827996,0.0,8.234000000054948,61168.22891482802,mixed_real,24,1,0.0,0.0,0.0,61168.228914828025,3837.3044983192704,57330.92441650875,0.0,0.0,61168.228914828025,57.33092441650875,3372.3515123525776,0.0,0.0,0.0,0.0,0.06313408627487664,0.3333333333333333,0.0,0.0,,,,,holiday_stagger
E9,holiday_stagger,Do the shared-budget planning conclusions survive realistic perturbations?,real,holiday_stagger,fixed_only,Case A: Fixed Only,ok,optimal,optimal,33858.42834250065,33858.42834250064,0.0,8.109000000054948,33858.42834250065,mixed_real,24,1,18.0,0.0,0.0,33858.42834250065,3677.81932343819,30162.60901906246,0.0,18.0,33858.42834250065,30.162609019062458,3412.1684957705106,199.88377456909222,187.23510654860576,0.0,0.0,0.06323731240265537,0.3333333333333333,0.0,0.0,,,,,holiday_stagger
E9,holiday_stagger,Do the shared-budget planning conclusions survive realistic perturbations?,real,holiday_stagger,mobile_only,Case B: Mobile Only,ok,optimal,optimal,23187.386598077162,23185.284348298825,0.0,17.546999999904074,23187.386598077162,mixed_real,24,1,0.0,12.0,0.5,23187.38659807716,3759.194178871933,19397.18420997299,13.008209232236203,18.0,23187.38659807716,19.397184209972995,3420.487084498761,151.40340450920533,141.2015725695578,26.016418464472412,0.3597828302802684,0.06388722438013357,0.5,3.766233765169159,0.361339145334876,,,,,holiday_stagger
E9,holiday_stagger,Do the shared-budget planning conclusions survive realistic perturbations?,real,holiday_stagger,hybrid,Case C: Hybrid,ok,optimal,optimal,27769.07705197228,27767.14066498296,0.0,22.780999999959022,27769.07705197228,mixed_real,24,1,9.0,6.0,0.5,27769.07705197228,3717.714422825148,24026.984850536905,6.377778610226631,18.0,27769.07705197228,24.026984850536905,3417.258043396744,177.4624766994312,165.85988522123665,12.755557220453268,0.38293252037884995,0.06372482263617721,0.5,4.08719851463394,0.35432103389163744,,,,,holiday_stagger
E9,site_month_heterogeneity,Do the shared-budget planning conclusions survive realistic perturbations?,real,site_month_heterogeneity,no_storage,Case 0: No Storage,ok,optimal,optimal,2582.4755687414236,2582.4755687414176,0.0,10.515999999945052,2582.4755687414236,mixed_real,24,1,0.0,0.0,0.0,2582.4755687414236,2582.4755687414236,0.0,0.0,0.0,2582.4755687414236,0.0,2111.7147208947636,0.0,0.0,0.0,0.0,0.04903866846033042,0.45454545454545453,0.0,0.0,,,,,site_month_heterogeneity
E9,site_month_heterogeneity,Do the shared-budget planning conclusions survive realistic perturbations?,real,site_month_heterogeneity,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2262.440800065787,2262.440800065787,0.0,12.109000000054948,2262.440800065787,mixed_real,24,1,18.0,0.0,0.0,2262.440800065787,2244.440800065787,0.0,0.0,18.0,2262.440800065787,0.0,2135.6590987714962,315.73720899212884,291.79283111539627,0.0,0.0,0.0491161135860886,0.6363636363636364,0.0,0.0,,,,,site_month_heterogeneity
