experiment_id,variant_id,question,track,source,case,case_label,solver_status,termination_condition,case_outcome,best_incumbent,best_bound,gap,elapsed_seconds,lp_relaxation_objective,timeline_mode,reconf_hours,delay_windows,fixed_total_mwh,mobile_total_mwh,c_reconf_yuan_per_mwh,C_total,C_grid,C_unserved,C_reconf,C_storage,C_total_with_storage,total_unmet_load,total_grid_purchase,total_charging_energy,total_discharging_energy,total_reconfiguration_volume,average_active_mobile_capacity_utilisation,SC_1,HT,R_delay,V_reconf_norm,B_reuse,L_friction,V_mob_net,note,concentration,residence_windows
E8,mobile_wins,Why does mobile win or lose in representative scenarios under a shared storage budget?,synthetic,synthetic_mechanism_decomposition,no_storage,Case 0: No Storage,ok,optimal,optimal,2544.08405,2544.084050000004,0.0,1.7820000000065193,2544.08405,synthetic_hourly,24,0,0.0,0.0,0.0,2544.08405,907.3200499999999,1636.7640000000001,0.0,0.0,2544.08405,136.39700000000002,850.509,0.0,0.0,0.0,0.0,0.23853007715045205,1.0,0.0,0.0,,,,,0.9,1
E8,mobile_wins,Why does mobile win or lose in representative scenarios under a shared storage budget?,synthetic,synthetic_mechanism_decomposition,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2319.9837131578947,2319.9837131578943,0.0,1.9070000000065193,2319.9837131578947,synthetic_hourly,24,0,3.6,0.0,0.0,2319.9837131578947,916.7397131578947,1399.644,0.0,3.6,2319.9837131578947,116.637,871.1178421052631,22.73684210526316,21.888000000000005,0.0,0.0,0.2404496639585657,1.0,0.0,0.0,-60.933178947368106,0.35131578947402886,-61.284494736842134,,0.9,1
E8,mobile_wins,Why does mobile win or lose in representative scenarios under a shared storage budget?,synthetic,synthetic_mechanism_decomposition,mobile_only,Case B: Mobile Only,ok,optimal,optimal,2381.268207894737,2381.268207894737,0.0,3.265999999945052,2381.268207894737,synthetic_hourly,24,0,0.0,2.4,0.5,2381.268207894737,915.6568921052631,1461.66,0.35131578947368103,3.5999999999999996,2381.268207894737,121.805,865.6668947368421,15.157894736842104,14.591999999999999,0.7026315789473712,0.4117491033890919,0.23991701151625516,1.0,0.0,0.04182330826818737,-60.933178947368106,0.35131578947402886,-61.284494736842134,,0.9,1
E8,mobile_wins,Why does mobile win or lose in representative scenarios under a shared storage budget?,synthetic,synthetic_mechanism_decomposition,hybrid,Case C: Hybrid,ok,optimal,optimal,2341.5707263157897,2341.5707263157897,0.0,4.14000000001397,2341.5707263157897,synthetic_hourly,24,0,1.8,1.2,0.5,2341.5707263157897,917.6062526315789,1419.0000000000002,1.3644736842105225,3.5999999999999996,2341.5707263157897,118.25000000000001,869.3633684210527,18.947368421052634,18.240000000000002,2.7289473684210455,0.44355547988431393,0.2399144637378711,1.0,0.0,0.32487468667811553,,,,,0.9,1
E8,mobile_wins,Why does mobile win or lose in representative scenarios under a shared storage budget?,synthetic,synthetic_mechanism_decomposition,mobile_only_ideal,Case B*: Ideal Mobile Only,ok,optimal,optimal,2380.9168921052633,2380.9168921052633,0.0,3.827999999979511,2380.9168921052633,synthetic_hourly,24,0,0.0,2.4,0.0,2380.916892105263,915.6568921052631,1461.66,0.0,3.5999999999999996,2380.916892105263,121.805,865.6668947368421,15.157894736842103,14.591999999999997,4.338157894736853,0.4006791335426247,0.2401529409375383,1.0,0.0,0.2582236841951565,-60.933178947368106,0.35131578947402886,-61.284494736842134,,0.9,1
E8,near_boundary,Why does mobile win or lose in representative scenarios under a shared storage budget?,synthetic,synthetic_mechanism_decomposition,no_storage,Case 0: No Storage,ok,optimal,optimal,2324.4411,2324.441100000011,0.0,1.6559999999590218,2324.4411,synthetic_hourly,24,1,0.0,0.0,0.0,2324.4411,914.6091,1409.832,0.0,0.0,2324.4411,117.486,855.8389999999999,0.0,0.0,0.0,0.0,0.22586906554038613,0.42857142857142855,0.0,0.0,,,,,0.7,2
E8,near_boundary,Why does mobile win or lose in representative scenarios under a shared storage budget?,synthetic,synthetic_mechanism_decomposition,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2084.0410131578947,2084.0410131578947,0.0,2.2030000000959262,2084.0410131578947,synthetic_hourly,24,1,3.6,0.0,0.0,2084.0410131578947,926.2690131578947,1154.172,0.0,3.6,2084.0410131578947,96.181,877.9928421052631,22.73684210526316,21.888,0.0,0.0,0.22689289675196408,0.42857142857142855,0.0,0.0,-77.23292894736869,1.0191299999996772,-78.25205894736837,,0.7,2
E8,near_boundary,Why does mobile win or lose in representative scenarios under a shared storage budget?,synthetic,synthetic_mechanism_decomposition,mobile_only,Case B: Mobile Only,ok,optimal,optimal,2162.293072105263,2162.293072105263,0.0,3.10999999998603,2162.293072105263,synthetic_hourly,24,1,0.0,2.4,0.5,2162.293072105263,922.8058721052631,1235.8872,0.0,3.5999999999999996,2162.293072105263,102.9906,870.900294736842,15.157894736842104,14.592,5.551115123125783e-16,0.3983933291064088,0.22667447484188805,0.42857142857142855,2.999999999625,3.3042351921400945e-17,-77.23292894736869,1.0191299999996772,-78.25205894736837,,0.7,2
E8,near_boundary,Why does mobile win or lose in representative scenarios under a shared storage budget?,synthetic,synthetic_mechanism_decomposition,hybrid,Case C: Hybrid,ok,optimal,optimal,2121.5634426315787,2121.5634426315787,0.0,2.780999999959022,2121.5634426315787,synthetic_hourly,24,1,1.8,1.2,0.5,2121.5634426315787,924.7578426315789,1193.2056,0.0,3.5999999999999996,2121.5634426315787,99.43379999999999,874.5985684210526,18.947368421052637,18.240000000000006,6.869504964868156e-16,0.4549521484355253,0.22679578704184464,0.42857142857142855,3.053571428182079,8.17798210005995e-17,,,,,0.7,2
E8,near_boundary,Why does mobile win or lose in representative scenarios under a shared storage budget?,synthetic,synthetic_mechanism_decomposition,mobile_only_ideal,Case B*: Ideal Mobile Only,ok,optimal,optimal,2161.273942105263,2161.273942105263,0.0,2.687999999965541,2161.273942105263,synthetic_hourly,24,0,0.0,2.4,0.0,2161.2739421052634,922.9459421052632,1234.728,0.0,3.5999999999999996,2161.2739421052634,102.89399999999999,870.996894736842,15.157894736842106,14.591999999999997,3.375077994860476e-14,0.38583132595402353,0.22647764059902112,0.42857142857142855,0.0,2.0089749968211776e-15,-77.23292894736869,1.0191299999996772,-78.25205894736837,,0.7,2
