experiment_id,variant_id,question,track,source,case,case_label,solver_status,termination_condition,case_outcome,best_incumbent,best_bound,gap,elapsed_seconds,lp_relaxation_objective,timeline_mode,reconf_hours,delay_windows,fixed_total_mwh,mobile_total_mwh,c_reconf_yuan_per_mwh,C_total,C_grid,C_unserved,C_reconf,C_storage,C_total_with_storage,total_unmet_load,total_grid_purchase,total_charging_energy,total_discharging_energy,total_reconfiguration_volume,average_active_mobile_capacity_utilisation,SC_1,HT,R_delay,V_reconf_norm,B_reuse,L_friction,V_mob_net,note,concentration,residence_windows,reconf_hours_scan,delay_windows_scan,delay_hours,concentration_level,turnover_level,delay_windows_map,reconf_hours_map,concentration_map,turnover_map,robustness_case
E0,real_baseline,Do the real and synthetic sanity cases solve cleanly and produce sensible movement?,real,g2_representative_12x24,hybrid,Case C: Hybrid,ok,maxTimeLimit,feasible_with_gap,2308.3451937519835,2307.313376907724,0.0004469941701320777,487.280999999959,2308.345193751984,representative_12x24,24,1,9.0,6.0,0.5,2308.3451937519835,2290.3451937519835,0.0,-4.7052639562394916e-14,18.0,2308.3451937519835,0.0,2133.85887170368,285.58103393760535,263.436883128689,3.0863621407477813e-13,0.4187468683323849,0.04481228082053433,0.18181818181818182,14.9999999895,4.6763062737894215e-15,,,,Stopped before optimality proof; incumbent retained with gap=0.044699%.,,,,,,,,,,,,
E0,synthetic_easy,Do the real and synthetic sanity cases solve cleanly and produce sensible movement?,synthetic,synthetic_corridor,mobile_only,Case B: Mobile Only,ok,optimal,optimal,1215.350401710526,1215.350401710526,0.0,2.187000000034459,1215.350401710526,synthetic_hourly,24,1,0.0,2.4,0.5,1215.3504017105258,715.0452017105263,496.7051999999997,0.0,3.5999999999999996,1215.3504017105258,41.39209999999997,669.4751894736842,11.115789473684211,10.944,6.83481049534862e-16,0.3965936053229265,0.22147925391099138,0.2,3.3571428566721937,5.695675412315877e-17,,,,,0.55,3,,,,,,,,,,
E0,synthetic_extreme,Do the real and synthetic sanity cases solve cleanly and produce sensible movement?,synthetic,synthetic_corridor,mobile_only,Case B: Mobile Only,ok,optimal,optimal,1888.0936673355266,1888.0936673355266,0.0,1.672000000020489,1888.0936673355266,synthetic_hourly,24,1,0.0,2.4,0.5,1888.0936673355263,678.4677173355263,1206.0259500000002,0.0,3.5999999999999996,1888.0936673355263,100.50216250000001,643.0565019736842,11.115789473684211,10.944,0.0,0.40375774016086885,0.24207357208218538,1.0,2.999999999625,0.0,,,,,0.95,1,,,,,,,,,,
E1,baseline,"Under the shared-budget planning setting, how do no-storage, fixed-only, mobile-only, and hybrid compare?",real,g2_representative_12x24,no_storage,Case 0: No Storage,ok,optimal,optimal,2584.1787740315203,2584.1787740315017,0.0,12.625,2584.1787740315203,representative_12x24,24,1,0.0,0.0,0.0,2584.1787740315203,2584.1787740315203,0.0,0.0,0.0,2584.1787740315203,0.0,2111.7147208947636,0.0,0.0,0.0,0.0,0.043478260888052636,0.0,0.0,0.0,,,,,,,,,,,,,,,,
E1,baseline,"Under the shared-budget planning setting, how do no-storage, fixed-only, mobile-only, and hybrid compare?",real,g2_representative_12x24,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2264.3077646661045,2264.3077646661045,0.0,14.40700000000652,2264.3077646661045,representative_12x24,24,1,18.0,0.0,0.0,2264.3077646661045,2246.3077646661045,0.0,0.0,18.0,2264.3077646661045,0.0,2135.5693454851307,314.8166624653036,290.96203787493647,0.0,0.0,0.043928560639703886,0.45454545454545453,0.0,0.0,,,,,,,,,,,,,,,,
E1,baseline,"Under the shared-budget planning setting, how do no-storage, fixed-only, mobile-only, and hybrid compare?",real,g2_representative_12x24,mobile_only,Case B: Mobile Only,ok,optimal,optimal,2357.177986118237,2356.9452317254136,0.0,455.6720000000205,2357.177986118237,representative_12x24,24,1,0.0,12.0,0.5,2357.177986118237,2339.177986118237,0.0,0.0,18.0,2357.177986118237,0.0,2131.4698944218812,249.38639514992667,229.6312216228088,8.335018857766324e-14,0.3719157133846576,0.04505430806794711,0.18181818181818182,12.666666659444443,6.314408225532712e-16,,,,,,,,,,,,,,,,
E1,baseline,"Under the shared-budget planning setting, how do no-storage, fixed-only, mobile-only, and hybrid compare?",real,g2_representative_12x24,hybrid,Case C: Hybrid,ok,maxTimeLimit,feasible_with_gap,2308.3451937519835,2307.313376907724,0.0004469941701320777,486.9530000000959,2308.345193751984,representative_12x24,24,1,9.0,6.0,0.5,2308.3451937519835,2290.3451937519835,0.0,-4.7052639562394916e-14,18.0,2308.3451937519835,0.0,2133.85887170368,285.58103393760535,263.436883128689,3.0863621407477813e-13,0.4187468683323849,0.04481228082053433,0.18181818181818182,14.9999999895,4.6763062737894215e-15,,,,Stopped before optimality proof; incumbent retained with gap=0.044699%.,,,,,,,,,,,,
E2,reconf_6,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,no_storage,Case 0: No Storage,ok,optimal,optimal,2584.1787740315203,2584.1787740315017,0.0,13.655999999959022,2584.1787740315203,representative_12x24,6,1,0.0,0.0,0.0,2584.1787740315203,2584.1787740315203,0.0,0.0,0.0,2584.1787740315203,0.0,2111.7147208947636,0.0,0.0,0.0,0.0,0.043478260886002505,0.0,0.0,0.0,,,,,,,6,,,,,,,,,
E2,reconf_6,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2264.3077646661045,2264.3077646661045,0.0,16.265999999945052,2264.3077646661045,representative_12x24,6,1,18.0,0.0,0.0,2264.3077646661045,2246.3077646661045,0.0,0.0,18.0,2264.3077646661045,0.0,2135.5693454851307,314.8166624653036,290.96203787493647,0.0,0.0,0.05516978922349966,1.0,0.0,0.0,,,,,,,6,,,,,,,,,
E2,reconf_6,How sensitive is mobile value to the reconfiguration interval under a shared storage budget?,real,g2_representative_12x24,mobile_only,Case B: Mobile Only,ok,maxTimeLimit,feasible_with_gap,2358.8896123703507,2304.9204243327463,0.02287906468983644,487.65600000007544,2367.986931042433,representative_12x24,6,1,0.0,12.0,0.5,2358.889612370351,2338.4299045511757,0.0,2.4597078191752746,18.0,2358.889612370351,0.0,2131.329882105923,247.95037139650603,228.3352101853468,4.9194156383640575,0.39105400291633063,0.06255753868323351,0.9787234042553191,5.166666661777778,0.008722368153112297,,,,Stopped before optimality proof; incumbent retained with gap=2.287906%.,,,6,,,,,,,,,
